,"Alkollü içecekler,tütün ve tütün ürünleri",Bilgi ve iletişim,Eğitim hizmetleri,"Eğlence,spor ve kültür",Gıda ve alkolsüz içecekler,Giyim ve ayakkabı,"Kişisel bakım,sosyal koruma ve çeşitli mal ve hizmetler","Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokantalar ve konaklama hizmetleri,"Mobilya,mefruşat ve evde kullanılan ekipmanlar ile rutin ev bakım ve onarımı",Sağlık,Sigorta ve finansal hizmetler,Ulaştırma,Web TÜFE
2024-12-31,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,
2026-01-31,32.82144315711353,8.867184837437048,64.1558396364039,24.384564213013405,33.3093888484199,26.947470222915882,36.7174825074327,48.18571889350085,37.450487637943475,24.813088866503662,-4.459098403593442,5.685977557593103,28.49548903159034,33.05775773937902
2026-02-28,36.0402188981769,13.444495138745637,59.9302799153399,19.042836642715997,37.83789176353014,14.20652060182892,33.82423698970349,45.42209272538176,35.52306472782662,19.895079299827835,12.001354546867038,21.742135319753064,30.341667216567725,32.92925434010727
2026-03-31,30.288490826414694,18.139654348682278,53.7094448068979,17.088006341218186,35.15590876924621,4.80140812226777,29.561397378814114,44.87984745254421,36.49131474463878,17.168071783257254,15.331577433033194,27.412558291341306,36.58865934019604,31.682557597001114
2026-04-30,30.357880230986456,20.905700861999588,58.38317316718471,16.49601478623405,38.51199988851632,9.162159021484628,26.94340884306287,43.77375894094115,36.19430177722977,18.739568184735667,19.785850981468165,33.24399765092058,35.69968255874093,32.95246090483489
